name_tejary,mavared_masraf,avarez_janebi,amozesh,tavajohat
Ceenu,سرطان های مغز لنفوم هوچکین,"عوارض خون شدید کاهش گلوبول سفید خون جمله اند, عوارض کلیوی اختلالات حرکت قراری, عوارض گوارش تهوع استفراغ زخم دهان کچلی",اعضا خانواده بیمار واکسیناسیون ویروس زنده قرار گرفت#گیر تهوع استفراغ میتوان مصرف دارو غذا کاهش خانم ها دارو قطع عادت ماهیانه , سرکوب ایمن استعداد آلودگی میکروبی افزایش کنترل آزمایش خون ضروری فعالیت غدد جنس حین دارو کاهش میابد 
Myleran,درمان کنترل مهار سرطان CML لوسمی میلوبلاستیک مزمن ,خونریزی سردرد افسردگی تار دید وزوز گوش عوارض تنفس پستان ها مرد یبوست استفراغ اسهال بیضه ها فیبروز ریه آب مروارید چشم ,دارو روز ساعات معین مصرف معده خال مصرف بیمار احتمال خونریزی مسواک نخ دندان مراقب ,آزمایش های خون کبد کلیوی کنترل ریه ها معاینه بالین انجام واکسن حتما اطلاع پزشک 
Paraplatin,سرطان تخمدان سرطان ریه سرطلن های رحم لوسمی تومور بیضه,تهوع استفراغ کاهش فعالیت مغز استخوان خون عوارض شدید کلیوی همراه دارو جنتامایسین استفاده , کبود خونریزی بینی پزشک اطلاع داد#ده اختلالات حس بینایی پزشک اطلاع داد#ده مراقب بود#باش درمان ضربه آسیب فیزیکی بدن شد#شو ,تجویز توسط پزشک تجربه زمینه درمان سرطان انکولوژیست صورت آزمایش های خون کلیوی حین درمان انجام عفونت گلودرد حین درمان تلقی احتمال خونریزی لثه مجاری ادرار 
Platinol,درمان کمک سزطان ها بیضه ریه مثانه تومور های تخمدان,تهوع استفراغ عوارض خون تمایل خونریزی مشکلات گوارش,بیمار انجام معاینات دوره ای پیگیر بیمار خانواده زندگی میکنند واکسن زنده ویروس فلج اطفال سرخک زد#زن درد پهلو سوزن مشکلات ادرار پزشک اطلاع داد#ده ,تست های کلیوی حین درمان انجام احتمال اختلالات شنوایی فشار خون مشکلات قلب شد#شو 
Cetavlon,ضد عفونی زخم های سوختگی تمیز پوست التهاب پوست شستشو حین جراح کیست هیداتید, صورت استفاده موضع غلظت پوست تحریک تهوع استفراغ مهار فعالیت مغز کاهش فشار خون مشکل تنفس ایجا , تماس محلول مخاط بدن دهان زبان حفره بینی شدیدا اجتناب ,واکنش حساسیت غلظت های 
Pronestyl, نظم های ریتم قلب AF-PAC-PVST-VT-MI کاربرد ,"تب درد عضلانی نظم قلبی, اختلالات روانی, بلوک قلبی, ضعف سرگیجه اشتهایی, تهوع درد شکم",درد عضلانی اسهال درد گلو پزشک مراجعه صورت تب ضایعات پوست اطلاع داد#ده ,اختلالات خون عوارض شایع صورت خونریزی رنگ پوست خونمردگی آزمایش انعقاد انجام صورت تزریق ورید بایست بیمار کنترل 
Ditropan,درد تحریک مثانه شب ادرار اختیار ادرار,تب سردرد تار دید تهوع یبوست سرگیجه افزایش ضرب قلب میدریاز مردمک چشم کاهش میل جنس مرد, صورت علائم خواب آلودگی اختلال هوشیار پزشک اطلاع داد#ده خشکی دهان عوارض شایع آدامس آب نبات استفاده ,تشنج تحریک پذیرفت#پذیر علائم مسمومیت 
symmetrel, درمان علامت آنفولانزا ویروس تیپ A درمان عوارض دارویی واکنش اکسترا پیرامیدال پارکینسون,افسردگی سرگیجه توهم کاهش فشار خون خشکی دهان عوارض خون, مصرف خواب آلودگی کار دقیق راننگی ممنوع خشکی دهان مایعات شستشو دهان استفاده ,میزان ادرار سلول های خون حین مصرف کنترل 
Amino,عارضه سو تغذیه مشکلات تغذیه ای کمبود پروتئین کالری,سرگیجه ادم ریه افزایش فشار خون راش پوست افزایش جبرانی قند خون تب, صورت تب علائم درد تورم محل تزریق پزشک اطلاع داد#ده ,پزشک معالج ویتامین k رژیم غذا بیمار اضافه هفته ای 10 میلی گرم علائم حیاتی بیمار توسط پرستار کنرل آزمایش های خون کبد کلیه قند بررسی 
Garamycin,عفونت های گرم منفی های استاف زخم جراح عفونت ادرار عفونت ناحیه لگن,"عوارض کلیوی خطرناک است, مشکلات شنوایی, ضعف عمومی, تشنج عوارض پوست خارش زخم دهان راش کهیر","دارو ها دستور پزشک مصرف عوارض اطلاع داد#ده موضع جنتامایسین ,بیمار معرض نور ", اختلال عملکرد کلیه میزان کاهش تنظیم اسهال خارش جلد گرفت#گیر 
Amikin,عفونت های خطرناک دستگاه اداری استخوان پرده مغز دستگاه تنفس,مشکل عضلانی مهار تنفس مشکلات شنوایی نارسایی کلیه, صورت سرگیجه اختلال شنوایی پزشک اطلاع داد#ده ,مشکل اختلال تنفس نمود#نما زمان تزریق محلول شفاف بیمار دوره درمانی حین کلیه شنوایی آزمایش 
Mycifradin,آمادگی عمل جراح کاهش میکروب های روده ای,تهوع مشکلات گوارش سوء جذب عوارض عضلانی, موضع آ « عوارض آلرژیک همراه صورت مشکلات گوارش پزشک اطلاع داد#ده , نارسایی کبد کلیوی احتیاط مصرف آزمایش کارکرد کلیه حتما کنترل 
Streptocol, تب مالت بیمار سل عنوان دارو کمک بروسلوزیس,حساسیت پوست عوارض کلیوی شنوایی تهوع استفراغ, اشکال شنوایی پزشک اطلاع داد#ده , کشت آنتی بیوگرام مطمئن شد#شو ضدمه شنوایی تعادل گوش مشکل آفرین 
Wellbutrin,افسردگی ترک سیگار,فشار خون پایین خارش تار دید خشکی دهان تب لرز سردرد ضعف اختلال شنوایی,قطع ناگهانی دارو خطرناک دارو ساعات معین مصرف راننگی خوددار ,احتمال تشنج افزایش میزان مصرف رود احتمال ناتوان جنس بیمار گوشزد 
Aralen,عفونت های مالاریا عفونت آمیب داخل خارج روده ای کنترل التهاب رماتیسم مفصل زخم روده التهاب مفصل آسم بیمار های التهاب ناشناخته پوست درماتومیوزیت لیکن پل اریتم دوخت#دوز,تهوع اسهال اختلال بینایی اضطراب خستگی ضعف عموم قرار افسردگی اشتهایی,بیمار حین درمان دراز تحد چشم پزشک بیمار مبتلا فاویسم احتیاط مصرف بیمار دوره درمان ,معاینه چشم بررسی عملکرد کلیه بیمارن درمان ضروری 
Neurontin, صرع پارشیل تشنج جنرالیزه عموم ,سردرد خواب آلودگی تهوع استفراغ گیجید#گیج درد عضلانی مشکلات چشم اختلال خلق سرفه تپش قلب, دارو آ « تی اسید مصرف فاصله نوبت دارو 12 ساعت ,عملکرد کلیه تست دارو ناگهانی قطع پزشک بایست نتیجه درمان بررسی 
Rocaltrol,درمان کمبود کلسیم بیمارانی درمان دیالیز قرار درمان هیپو پاراتیروئیدیسم بیمار ریکتز کمبود ویتامین D ,فشار خون خارش سردرد ضعف قرار تهوع سنگ کلیوی کاهش میل جنس خشکی دهان درد استخوان نظم قلب آریتمی , صورت علائم قلب مسمومیت پزشک اطلاع داد#ده دارو میتوان غذا غذا مصرف ,سطح سرمی کلسیم فسفر آلکالن فسفاتاز عملکرد کلیه درمان بررسی احتمال هیپر کلسمی 
Dovonex,ضد پسوریازیس,تحریک پوست صورت موضع افزایش کلسیم خون جذب 6 دارو صورت عموم,پماد ظایعه مالید#مال تماس چشم جلوگیری صورت 2 8 هفته بهبود نسبی حاصل شد#شو پزشک اطلاع داد#ده ,علائم بهبود 1 2 هفته ظاهر بیمار پسوریازیس شدید کاربرد 
Desferal Mesylate,مسمومیت آهن بیمار تالاسمی ماژور هموسیدروز مسمومیت آلومینیوم تشحیص افزایش آهن خون,تزریق سریع داخل ورید دارو واکنش حساسیت درد عضلانی شدید تزریق عضلانی مشاهده , رنگ ادرار تار دید اختلال بینایی گزارش داد#ده , خون کشنده نارسایی کلیه گزارش بنابر تست های انجام دفروکسامین هپارین ناسازگار 
Lagamet,زخم معده برگ مواد معده مری التهاب اختلال معده,سردرد اسهال سرگیجه کاهش میل جنس درد عضلانی بلوک قلب, رانندگی اجتناب زمان بهبود مصرف دارو ادامه داد#ده , دارو غذا مصرف آزمایش خون CBC حین درمان انجام 
Imuran, پیوند کلیه سرکوب مهار بیمار آرتریت روماتوئید,تهوع استفراغ مشکلات گلبول های خون آسیب کبد احتمال سرطان یرقان زرد عفونت, صورت ادرار تیره زرد پوست چشم خارش مدفوع روشن پزشک اطلاع داد#ده بیمار درمان صبور رماتیسم مفصل جواب درمان 3 4 ماه کشید#کش هرگونه تب اسهال خستگی شدید پزشک اطلاع داد#ده ,آزمایش های اولیه کلیوی کبد خون ضروری کارکرد کلیه ها میزان مایعات مصرف ادرار روزانه اندازه 
Dauno Xorne,سرطان های خون AML ALL ,عوارض خون قلب زخم دهان تهوع استفراغ زرد,حاملگی دوره مصرف دارو ممنوع ریزش مو برگ 2 3 ماه صورت کبود پزشک اطلاع داد#ده مایعات نوشید#نوش صورت تب همراه گلو درد پزشک اطلاع داد#ده ,بیمار مستعد خونریزی بیمار متذکر شد#شو اختلالات خون نمود#نما شمارش سلول های خون مرتب انجام داد#ده 
Anthranol,پسوریازیس مطمن حاد ضایعات تاول پوسچولی ,تحریک زود گذر پوست حساسیت دارویی, بیمار تذکر داد#ده دارو رنگ پوست مو , کمترین میزان دارو 
Difrarel - E,نارسایی ورید عروق لنفاوی هنگامی اختلالات عروق شکننده خونریزی نقطهای پتشی واکیموز خون مردگی ایجاد ,گزارش شد#شو,-----------, دارو شیر داد#ده مجاز 
Dopamet,فشار خون سندرم رینود,"خواب آلودگی اسهال درد قلبی, زرد درد عضله مفصل","خشکی دهان مصرف مایعات آدامس ضعف سرگیجه اسهال یبوست علائم مسمومیت اند, پزشک اطلاع داد#ده ",فشار خون بیمار کنترل آزمایش خون بررسی 
Diane,درمان آکنه پرمو طبیعی هیر سوتیسم ,احساس خستگی ضایعات جلد ترشح شیر پستان افسردگی, صورت علائم پزشک مراجعه , صورت زرد مشکلات پزشک مراجعه 
Clomid,درمان نازا نا رسا تخمدان موارد تشخیص عملکرد تخمدان کار رود ,تهوع استفراغ تار دید فشار عصبی خستگی ضایعات پوست ریزش مو درد شکم اسهال یبوست زرد حساسیت نور, صورت اثبات حاملگی دارو قطع درد شکم نشانه بزرگ کیست تخمدان تلقی پزشک اطلاع داد#ده ,پزشک بایست درمان تاریخچه پزشک سوابق بیمار بیمار مطالعه قرص روز پنجم قاعدگی 5 روز تجویز 
Almox,آنتی اسید درمان تحریک دستگاه گوارش زخم معده مصرف ,یبوست اسهال تهوع کاهش اشتها,یبوست جزء عوارض نا خواست#خواه ,مصرف دارو ضد انعقاد خوراک وافارین کاهش جذب دارو 
magel,درمان نفخ کاهش اسید معده,کاهش اشتها تهوع استفراغ, 2 4 ساعت غذا خواب استفاده , صورت تداوم خونریزی معده مشکل پزشک مراجعه 
Aerospooin, درمان عفونت چشم میکروب های مقاوم ملتحمه قرینیه چشم,تزریق دردناک سرگیجه ضایعات پوست مشکلات کلیوی عوارض عمده , صورت پزشک اطلاع داد#ده ,الزاما پزشک متخصص مصرف 
Augmentin,عفونت ریه عفونت گوش میان سینوزیت عفونت ها پوست کلیه مجاری ادرار,اسهال تشنج عوارض کلیوی ضایعات پوست تهوع استفراغ, آماده دارو شکل پودربه شربت 2 مرحله آّ اضافه پودر آب خانم ها علائم عفونت قارچ مجاری تناسلی واژن صورت ترشحات سفید پنیر , دارو ترکیب آموکسی سیلین کلاولانیک اسید اختلال عملکرد کلیوی احتیاط مصرف راش ضایعات جلد دیر نشانگر حساسیت 
Blenoxane,سرطان های سلول های پوست لنفوم سرطان بیضه,فیبروز ریه سالمند مشکل زمینه ای ریه مه عارضه جانبی آثار پوست لثه زبان,بیمار اطلاعات وضعیت ریه کبد اختیار پزشک قرار صورت رنگ پوست ایجاد سیانوز انگ مراتب کادر پزشک اطلاع داد#ده مصرف دارو ریزش مو همراه قطع دارو بهبود ,بلئومایسین دارویی خطرناک توسط پزشک تجربه تجویز نارسایی کلیه ریه احتیاط تجویز صورت التهاب دهان زبان میزان دارو کاهش 
Cosmegen,سرطان های شایع کلیه تومور ویلمز تومور عضلات رابدومیوساکرم سرطان بیضه سارکوم استخوان,"اختلالات خون سلولیت, تورم پوست تاول پوست زرد خستگی ضعف عموم تب درد عضلانی, زخم دهان",بیمار هرگونه کمبود اطلاع بیمار واکسینه واکسینه ویروس زنده تماس ,محل تزریق بررسی مکرر قرار 
-Dalacin, عفونت میکروبی واژن خانم ها کاربرد فراوان ,التهاب موضع علائم عموم احتمال جذب عموم رود , خواب استعمال , ماه ششم حاملگی اپلیکاتور احتیاط استفاده 
Lamprene,درمان جذام شایع مصرف دارو دارو صورت کمک دارو ضد جذام مصرف , رنگ ادرار پوست ترشحات بدن رنگ قرمز قهوه ای ضایعات پوست خارش راش موارد شایع , رنگ پوست ماه سال باقی ماند#مان اختلالات بینایی خواب آلودگی رانندگی پرهیز , بیمار مشکلات گوارش احتیاط مصرف بیمار گوشزد درد استخوان خونریزی جزء عوارض شایع صورت افزایش میزان دارو مراقبت 
Mycostatin,عفونت های قارچ کاندیدا ناحیه واژن مخاط دهان پوست مری عفونت برفک دهان کودک,تهوع استفراغ اسهال حساسیت موضع, عفونت های کاندیدا چین های بدن بغل کشاله ران کرم استفاده ثور مرطوب عفونت لا انگ پودر استفاده , دارو عوارض شدید همراه درمان کاندیدیاز توان قرص واژینال صورت خوراک استفاده 
Orbenim,عفونت های میکروبی استاف طلایی میکروبی تولید پنی سیلیناز عفونت های پوست دستگاه تنفس,کهیر تهوع اسهال عوارض مشابه پنی سیلین ها,کپسول پودر خنک نگهداری ,دوره درمان بایست تاریخچه حساسیت پنی سیلین ها بیمار پرسید#پرس دوره مصرف طولانی آزمایش های خون انجام عملکرد کلیوی بایست بررسی 
Pyopen, عفونت های ادرار مننژِت عفونت بافت نرم پوست,عوارض گوارش اسهال درد شکم تهوع طعم تلخ, صورت اسهال تهوع شدید پزشک اطلاع داد#ده دارو خوراک لیوان آب مصرف دارو سر ساعت استفاده ,توجه تاریخچه حساسیت دارویی پنی سیلین ها توصیه دارو معده خال مصرف 
Primaxin, درمان عفونت های ریوی عفونت های اداری- استخوان ضایعات پوست عفونت زن زایمان آلودگی میکروبی کلیه ها دریچه های قلب,تهوع استفراغ اسهال لرزش دست سردرد خارش کهیر,تاریخچه حساسیت دارویی اطلاع پزشک رساند#رسان مصرف دارو ضد تشنج بیمار سابقه تشتج ضروری ,احتمال واکنش حساسیت شدید تشنج حین تزریق گرفت#گیر تزریق ورید دارو اطفال عفونت مغز ممنوع 
Capastat,,آسیب شنوایی کلیوی ضایعات خون, صورت کاهش شنوایی تعادل پزشک مراجعه ,خونریزی درد محل تزریق جزء عوارض تست های کبد کلیوی حین درمان کنترل 
Amoxil,عفونت دستگاه تنفس ادرار,تشنج اسهال راش پوست استفراغ,دوره درمان رعایت ,دارو میتوان حین غا مصرف له معده خال مصرف 
AK-Tracin,"زخم قرنیه, التهاب عفونت ملتحمه چشم",التهاب تحریک موقت سوزش خارش کهیر, بیمار مایعات نوشید#نوش مالیدن پماد داخل پلک تحتانی تماس تیوپ پماد چشم جلوگیری ,تاریخچه حساسیت دارویی بیمار پرسید#پرس آزمایش های کلیوی تجویز ضروری 
Grisovin,عفونت قارچ عفونت های درماتوفیتی پوست مو,سردرد عوارض عموم خستگی خوابید#خواب تهوع استفراغ درد شکم اسهال برفک دهان,مصرف غذا چرب جذب افزایش مصرف الکل درمان خوددار صورت کهیر خارش جلد پزشک اطلاع داد#ده ,تست های خون کلیوی کبد انجام 
Dalacin,آکنه جوش سر صورت عفونت های پوست زخم های سطح عفونی,خشکی پوسته خارش صورت مصرف گوارش اسهال, صورت اسهال پزشک اطلاع داد#ده , منابع پزشک مصرف موضع کلیندا اسهال 
Beepen," درمان عفونت های ریوی عفونت پرده مغز مننژیت دیفتری, سفلیس","حساسیت شدید تهوع استفراغ تشنج کوما عوارض خون آبسه استریل محل تزریق واکنش پوستی, تب", تزریق 30 دقیقه بود#باش ,حساسیت پنی سیلین تزریق خوراک اندک سابقه حساسیت بیمار بیمار پرسید#پرس عملکرد کلیه وکبد کنترل 
-Dalacin-,عفونت های ریوی پوست استخوان درمان کمک ایدز عفونت های میکروبی واژن مالاریا,ضایعات پوست خارش تهوع استفراغ کاهش وزن التهاب مری معده اسهال شدید احساس طعم فلز دهان,دارو کپسول لیوان آب مصرف دوره درمانی خوراک تزریق اسهال پزشک اطلاع داد#ده ,کلیندامایسین هیچگاه سرعت ورید بیمار بولوس تست های کبد بیمار بایست انجام تست های شمارش سلول خون انجام افت فشار خون جزء عوارض احتمال مد داشت#دار تزریق عضلانی شکل عمیق صورت 
Akitan,پارکینسون دسیتونی بیمار سیستم عصبی اول لرزش ترمور اندام ها مشکل حرکت رفتن کاهش مواد ضروری گیرنده ها CABA مغز دوم سفت عضلات نواحی گردن اندام هاست ,ضعف خستگی کهیر مشکل دید تپش قلب یبوست سوزش ادرار,دارو غذا بلافاصله غذا مصرف شروه قطع دارو تدریجی راننگی اجتناب ,بیمار ضعف عضلانی میزان دارو کاهش 
Abitrexat,سرطان های خون لوسمی سرطان استخوان استئوسارکوم لنفوم پسوریازیس آرتریت روماتوئید, خون زخم دهان خونریزی گوارش دل درد اشهایی مشکلات کبد,استفراغ های مکرر مصرف دارو پزشک اطلاع داد#ده کبود های حین درمان پزشک اطلاع داد#ده بیمار مبتلا بیمار های ویروس واکسینه ویروس زنده تماس , دارومیتواند خطرناک عنوان دارو آخر استفاده استفعالیت مغز استخوان کاهش 
Hydrea,سرطان های بدخیم خون CLL ملانوم بدخیم سرطان عود تخمدان سرطان های سر گردن,عوارض خون کاهش پلاکت های خون ,بیمار تماس بیمار ویروس اجتناب صورت کبود پزشک اطلاع داد#ده صورت استفراغ مکرر پزشک اطلاع داد#ده , قضاوت دارو 6 هفته وقت بیمار بایست حین درمان مایعات تجویز درمان بایست خون بیمار جبران 
-----,درمان علامت سرماخوردگی گرفتگی بینی آلرژی سرفه,خواب آلودگی تپش قلب یبوست خشکی دهان سردرد سرگیجه خوابید#خواب لرزش تشدید حملات آسم تشنج, مصرف رانندگی کرد#کن , دارو خلط درمان خوابید#خواب موثر 
Albalon, موارد خون چشم ترشحات بینی خارش قرمزی چشم,سوزش چشم حساسیت موضع,مصرف خودسرانه اندازه دارو مضر , موارد خفیف قرمزی حساسیت شدید چشم استفاده 
Hismanal,"حساسیت ها کهیر ,آلرژی رینیت ",سرگیجه سر درد یرقان قرار افزایش اشتها درد مفاصل,دارو معده خال مصرف صورت کاهش فشار خون پزشک اطلاع داد#ده خشکی دهای جزء عوارض همراه ," درمان دراز دارو ,آزمایش های خون کلیوی ضروری "
Laditen,عوارض آلرژی مفصل آسم حساسیت های چشم,سردرد خواب آلودگی ضایعات جلد خشکی دهان,احتمال کاهش پلاکت خون یاعث ایجاد خون مردگی عوارض جلد گلو درد , دارو ترشحات حساسیت بینی چشم آبریز رینیت آلرژیک کارا حملات حاد کار نمیرود 
Periaction,افزایش اشتها درمان آلرژی سردرد های عروق میگرن ,خواب آلودگی چاقید#چاق زرد جمله عوارض ,افزایش وزن مرتب اندازه خشکی دهان نوشید#نوش مایعات غرغره آب برطرف ,دارو غذا مصرف گیجید#گیج جزء عوارض هشدار داد#ده 
Histopharmin,سرما خوردگی ترشحات بینی سینوزیت اطفال التهاب گوش, دارو ترکیب کلرفنیرآمین مالئات فنیل افرین فنیل پروپانولامین کلراید خواب آلودگی جزء عوارض گروه , خاص مطرح ,مسئله خاص 
