name,description,indication
Interferon alfa-n1,interferon alfa-n1 consists purified natural n natural alpha interferon subtypes least two glycosylated differs recombinant alpha interferon individual non-glycosylated protein produced individual alpha interferon gene , treatment venereal genital wart caused human papiloma virus 
Darbepoetin alfa,human erythropoietin 2 aa substitution enhance glycosylation 5 n-linked chain 165 residue mw=37 kd produced chinese hamster ovary cho cell recombinant dna technology , treatment anemia renal transplant certain hiv treatment 
Urokinase,urokinase endogenous peptide cleaved presence plasmin lysine 158 isoleucine 159 yield active urokinase a191943 urokinase remains connected 2 chain sulfhydryl bond a191943 urokinase granted fda approval 16 january 1978 l12138 , canada urokinase indicated lysis acute massive pulmonary embolus acute thrombus obstructing coronary artery occlusive thromboemboli peripheral artery graft restoration patency intravenous catheter l12141 
Goserelin,goserelin synthetic hormone men stop production hormone testosterone may stimulate growth cancer cell woman goserelin decrease production hormone estradiol may stimulate growth cancer cell level similar postmenopausal state medication stopped hormone level return normal ,goserelin indicated use combination flutamide management locally confined carcinoma prostate palliative treatment advanced carcinoma prostate management endometriosis use endometrial-thinning agent prior endometrial ablation dysfunctional uterine bleeding use palliative treatment advanced breast cancer pre- perimenopausal woman
Reteplase,human tissue plasminogen activator purified glycosylated 355 residue purified cho cell retavase considered `` third-generation '' thrombolytic agent genetically engineered retain delete certain portion human tpa retavase deletion mutein human tpa formed deleting various amino acid present endogenous human tpa retavase contains 355 527 amino acid native human tpa amino acid 1-3 176-527 retains activity-related kringle-2 serine protease domain human tpa three domain deleted retavase kringle-1 finger epidermal growth factor egf , lysis acute pulmonary embolus intracoronary embolus management myocardial infarction 
Erythropoietin,"erythropoietin epo growth factor produced kidney stimulates production red blood cell work promoting division differentiation committed erythroid progenitor bone marrow fda label epoetin alfa epoge developed amgen inc. 1983 first rhepo commercialized united state followed alfa beta formulation epoetin alfa 165-amino acid erythropoiesis-stimulating glycoprotein produced cell culture using recombinant dna technology used treatment patient anemia associated various clinical condition chronic renal failure antiviral drug therapy chemotherapy high risk perioperative blood loss surgical procedure fda label molecular weight approximately 30,400 dalton produced mammalian cell human erythropoietin gene introduced product contains identical amino acid sequence isolated natural erythropoietin biological activity endogenous erythropoietin epoetin alfa biosimilar retacrit epoetin alfa-epbx epoetin zeta formulated allow access treatment option patient market l2784 biosimilar approved fda ema safe effective affordable biological product display equivalent clinical efficacy potency purity reference product a7504 epoetin alfa formulation administered intravenously subcutaneously ",indicated adult paediatric patient treatment anemia due chronic kidney disease ckd patient dialysis dialysis treatment anemia due zidovudine patient hiv-infection treatment anemia due effect concomitant myelosuppressive chemotherapy upon initiation minimum two additional month planned chemotherapy reduction allogeneic rbc transfusion patient undergoing elective noncardiac nonvascular surgery 
Salmon calcitonin,synthetic peptide 32 residue long formulated nasal spray ,used treatment symptomatic paget 's disease patient unresponsive alternate treatment intolerant treatment addition used emergency situation serum calcium level must decreased quickly underlying condition identified also added existing therapeutic regimen hypercalcemia intravenous fluid furosemide oral phosphate corticosteroid agent calcitonin used patient azotemia case intravenous fluid would contraindicated due limited cardiac reserve also treatment post-menopausal osteoporosis woman 5 year post-menopause 
Interferon alfa-n3,purified natural n natural human interferon alpha protein consists 3 form polymorphism including 2a 2b 2c 166 residue glycosylated mw range 16 kd 27 kd , intralesional treatment refractory recurring external condylomata acuminata 
Pegfilgrastim,pegfilgrastim pegylated form recombinant human granulocyte colony-stimulating factor g-csf analogue filgrastim a187601 drug approved use decrease incidence infection manifested febrile neutropenia susceptible patient non-myeloid cancer receiving myelosuppressive anti-cancer treatment l9746 although risk developing febrile neutropenia le 20 many readily used chemotherapy regimen a248855 infection pose risk hospitalization mortality a187631 due relatively short circulating half-life filgrastim 20 kda peg moiety covalently conjugated n-terminus filgrastim methionine residue develop longer-acting pegfilgrastim a29 a187607 due longer half-life slower elimination rate filgrastim pegfilgrastim requires le frequent dosing filgrastim however pegfilgrastim comparable pharmacological activity filgrastim bind g-csf receptor stimulate proliferation differentiation activation neutrophil a187607 first developed amgen pegfilgrastim initially approved fda 2002 marketed neulasta typically administered via subcutaneous injection several pegfilgrastim biosimilars fulphila pelgraz lapelga pelmeg udenyca ziextenzo grasustek fylnetra stimufend health canada european union eu fda approved reduce infection risk l9779 l9785 l43050 biosimilars highly similar reference product neulasta term pharmacological pharmacokinetic profile condition use l9974 ,pegfilgrastim indicated decrease incidence infection manifested febrile neutropenia patient non­ myeloid malignancy receiving myelosuppressive anti-cancer drug associated clinically significant incidence febrile neutropenia l44221 also indicated increase survival patient acutely exposed myelosuppressive dos radiation hematopoietic subsyndrome acute radiation syndrome l44221 
Sargramostim,sargramostim human recombinant granulocyte macrophage colony-stimulating factor gm-csf expressed yeast glycoprotein 127 residue substitution leu23 lead difference native protein , treatment cancer bone marrow transplant
Peginterferon alfa-2b,peginterferon alfa-2b form recombinant interferon used part combination therapy treat chronic hepatitis c infectious liver disease caused infection hepatitis c virus hcv hcv single-stranded rna virus categorized nine distinct genotype genotype 1 common united state affecting 72 chronic hcv patient l852 treatment option chronic hepatitis c advanced significantly since 2011 development direct acting antiviral daas resulting le use peginterferon alfa-2b peginterferon alfa-2b derived alfa-2b moeity recombinant human interferon act binding human type 1 interferon receptor activation dimerization receptor induces body 's innate antiviral response activating janus kinase/signal transducer activator transcription jak/stat pathway use peginterferon alfa-2b associated wide range severe adverse effect including aggravation development endocrine autoimmune disorder retinopathy cardiovascular neuropsychiatric complication increased risk hepatic decompensation patient cirrhosis use peginterferon alfa-2b largely declined since newer interferon-free antiviral therapy developed joint recommendation published 2016 american association study liver disease aasld infectious disease society america idsa longer recommend peginterferon alfa-2b treatment hepatitis c a19593 peginterferon alfa-2b used alongside db00811 intent cure achieve sustained virologic response svr 48 week therapy svr eradication hcv infection associated significant long-term health benefit including reduced liver-related damage improved quality life reduced incidence hepatocellular carcinoma reduced all-cause mortality a19626 peginterferon alfa-2b available variable dose injectable product tradename pegintron used treatment chronic hepatitis c. approved 2001 fda pegintron indicated treatment hcv ribavirin antiviral drug fda label combined together peginterferon alfa-2b ribavirin shown achieve svr 41 genotype 1 75 genotype 2-6 48 week treatment ,peginterferon alfa-2b indicated treatment hcv combination db00811 ns3/4a protease inhibitor genotype 1 without ns3/4a protease inhibitor genotype 2-6 fda label may used monotherapy patient contraindication significant intolerance anti-viral therapy 
Asparaginase Escherichia coli,asparaginase derived _escherichia coli_ l-asparagine amidohydrolase ec 3.5.1.1 enzyme responsible metabolism l-asparagine catalyzing l-asparagine l-aspartic acid ammonia also facilitates production oxaloacetate needed general cellular metabolism asparaginase _e coli_ clinically shown exhibit antitumor action model leukaemia a31996 a31997 l-asparaginase _e coli_ marketed several different trade name including elspar treatment acute lymphoblastic leukemia part multi-agent chemotherapeutic regimen available intramuscular intravenous injection therapeutic l-asparaginase _e coli_ work depleting level non-essential amino acid asparagine lymphoblastic leukemic cell thus promoting apoptotic cell death a31999 patient develop hypersensitivity _e coli_-derived formulation l-asparaginase use pegylated non-pegylated db08886 recommended a31999 ,indicated component multi-agent chemotherapeutic regimen treatment patient acute lymphoblastic leukemia l39809 
Thyrotropin alfa,thyrotropin alfa recombinant form thyroid stimulating hormone used performing certain test patient thyroid cancer also used along radioactive agent destroy remaining thyroid tissue certain patient thyroid gland removed thyroid cancer heterodimeric glycoprotein comprised two non-covalently linked subunit alpha subunit 92 amino acid residue containing two n-linked glycosylation site beta subunit 112 residue containing one n-linked glycosylation site alpha subunit thyrotropin alfa effector region responsible stimulation adenylate cyclase display close structural similarity alpha subunit human chorionic gonadotropin hcg luteinizing hormone lh follicle-stimulating hormone fsh beta subunit tshb bestows receptor specificity due uniqueness tsh amino acid sequence thyrotropin alfa identical human pituitary thyroid stimulating hormone , detection residueal recurrent thyroid cancer
"Antihemophilic factor, human recombinant",human recombinant antihemophilic factor ahf factor viii 2332 residue glycosylated produced cho cell, human recombinant antihemophilic factor indicated use adult child hemophilia control prevention bleeding episode perioperative management routine prophylaxis prevent reduce frequency bleeding episode l41025 l36130 
Anakinra,anakinra recombinant human interleukin-1 il-1 receptor antagonist il-1ra composed 153 amino acid residue unlike native human il-1ra anakinra additional methionine residue amino terminus drug bind il-1 receptor competing inhibiting activity il-1 alpha beta l35415 anakinra indicated management rheumatoid arthritis ra patient 18 year age older failed one disease-modifying antirheumatic drug dmards well treatment neonatal-onset multisystem inflammatory disease nomid deficiency interleukin-1 receptor antagonist dira l35415 since il-1 important role inflammation immunological response anakinra also used off-label treatment inflammatory disease a247000 anakinra produced using _e coli_ bacterial expression system november 14 2001 approved fda treatment rheumatoid arthritis later approved treatment nomid dira december 21 2012 december 18 2020 respectively study evaluated use anakinra treatment coronavirus disease 2019 covid-19 a247265 november 8 2022 fda issued emergency use authorization eua anakinra treatment covid-19 hospitalized patient risk progressing severe respiratory failure l43932 ,anakinra interleukin-1 receptor antagonist indicated reduction sign symptom slowing progression structural damage moderately severely active rheumatoid arthritis ra patient 18 year age older failed one disease-modifying antirheumatic drug dmards anakinra used alone combination dmards tumor necrosis factor tnf blocking agent l35415 anakinra also indicated treatment neonatal-onset multisystem inflammatory disease nomid treatment deficiency interleukin-1 receptor antagonist dira l35415 anakinra also used off-label treatment several inflammatory disease a247000 fda issued emergency use authorization eua emergency use anakinra treatment coronavirus disease 2019 covid-19 hospitalized adult positive result direct sars-cov-2 viral testing pneumonia requiring supplemental oxygen low- high-flow oxygen risk progressing severe respiratory failure likely elevated plasma soluble urokinase plasminogen activator receptor supar since anakinra approved condition eua drug used alternative treatment available l43927 
Gramicidin D,gramcidin heterogeneous mixture three antibiotic compound gramicidin b c making 80 6 14 respectively obtained soil bacterial specie bacillus brevis called collectively gramicidin d. gramcidins 15 residue peptide alternating l amino acid assemble inside hydrophobic interior cellular lipid bilayer form β-helix active gram-positive bacteria gram-negative organism gramicidin used primarily topical antibiotic also found polysporin ophthalmic solution , treatment skin lesion surface wound eye infection 
Human immunoglobulin G,intravenous immunoglobulin ivig mixture igg1 antibody derived healthy human plasma via cohn fractionation purification process includes cold alcohol fractionation polyethylene glycol precipitation ion exchange chromatography ivig contains distribution igg antibody subclass found general human population igg subclass fully represented following proportion 70.3 igg1 24.7 igg2 3.1 igg3 1.9 igg4 ivig used treatment immunodeficiency well autoimmune inflammatory disorder ,human immunoglobulin g indicated following condition primary immunodeficiency treatment primary immunodeficiency adult pediatric patient l39920 l39930 l39935 l39940 l39945 l39950 l39955 l39960 l39965 l39975 l39980 l40029 l40034 l40044 combination hyaluronidase human recombinant treatment primary immunodeficiency adult l40039 immune thrombocytopenic purpura itp treatment acute chronic immune thrombocytopenic purpura adult pediatric patient l39940 l39950 l39960 l39965 l39970 l39975 l39980 chronic inflammatory demyelinating polyneuropathy cidp treatment cidp adult patient l39965 l39975 l39980 l40034 multifocal motor neuropathy mmn maintenance therapy improve muscle strength disability adult patient mmn l39955 prophylaxis bacterial infection prevention bacterial infection patient hypogammaglobulinemia and/or b-cell chronic lymphocytic leukemia l39960 coronary artery aneurysm associated kawasaki syndrome prevention coronary artery aneurysm pediatric patient kawasaki syndrome l39960 dermatomyositis treatment dermatomyositis adult patient l39970 
Anistreplase,human tissue plasminogen activator purified glycosylated 527 residue purified cho cell eminase lyophilized freeze-dried formulation anistreplase p-anisoyl derivative primary lys-plasminogen-streptokinase activator complex complex lys-plasminogen streptokinase p-anisoyl group chemically conjugated complex bacterial-derived streptokinase human plasma-derived lys-plasminogen protein , lysis acute pulmonary embolus intracoronary embolus management myocardial infarction
Insulin human,human insulin also known regular insulin short-acting form insulin used treatment hyperglycemia caused type 1 type 2 diabetes human insulin produced recombinant dna technology identical endogenously produced insulin typically prescribed management diabetes mellitus insulin peptide hormone produced beta cell pancreas promotes glucose metabolism insulin released pancreas following meal promote uptake glucose blood internal organ tissue liver fat cell skeletal muscle absorption glucose cell allows transformation glycogen fat storage insulin also inhibits hepatic glucose production enhances protein synthesis inhibits lipolysis proteolysis among many function insulin important treatment management type 1 diabetes t1d caused autoimmune reaction destroys beta cell pancreas resulting body able produce synthesize insulin needed manage circulating blood sugar level result people t1d rely primarily exogenous form insulin lower glucose level blood insulin also used treatment type 2 diabetes t2d another form diabetes mellitus slowly progressing metabolic disorder caused combination genetic lifestyle factor promote chronically elevated blood sugar level without treatment improvement non-pharmacological measure diet exercise lower blood glucose high blood sugar eventually cause cellular resistance endogenous insulin long term damage pancreatic islet cell insulin typically prescribed later course t2d trying several oral medication db00331 db01120 db01261 tried sufficient damage caused pancreatic cell body longer able produce insulin marketed brand name product humulin r novolin r human insulin begin exert effect within 30 minute subcutaneous administration peak level occur 3-4 hour administration due quick onset action human insulin considered `` bolus insulin '' provides high level insulin short period time mimic release endogenous insulin pancreas meal bolus insulin often combined daily long-acting `` basal insulin '' db01307 db09564 db00047 provide low concentration background insulin keep blood sugar stable meal overnight use basal bolus insulin together intended mimic pancreas production endogenous insulin goal avoiding period hypoglycemia human insulin also available inhalable form intended used bolus meal-time insulin exubera first inhaled insulin available market developed inhale therapeutic later named nektar therapeutic unfortunately limited uptake physician patient poor sale bulky packaging concern possible impact lung cancer development resulted exubera product withdrawn u market a176005 exubera followed afrezza monomeric inhaled insulin developed mannkind corporation received fda approval 2016 still available u afrezza similar concern associated use fda `` black box '' warning added warn use patient chronic lung disease afrezza currently health canada european medicine agency approval marketing canada eu human insulin 51 residue peptide hormone produced recombinant dna technology inserting human insulin gene escherichia coli bacteria saccharomyces cerevisiae structure identical native human insulin two amino acid chain covalently linked disulfide bond human insulin also available intermediate-acting form nph neutral protamine hagedorn marketed product novolin n humulin n. nph insulin provided crystalline suspension insulin protamine zinc resulting onset action 1 3 hour duration action 24 hour peak action 6 8 hour due added crystal nph insulin typically cloudy compared form insulin neutral ph without adequate supply insulin promote absorption glucose bloodstream blood sugar level climb dangerously high level result symptom fatigue headache blurred vision increased thirst left untreated body start break fat instead glucose energy result build-up ketone acid blood syndrome called ketoacidosis life-threatening medical emergency long term elevated blood sugar level increase risk heart attack stroke diabetic neuropathy ,human insulin indicated improve glycemic control adult pediatric patient diabetes mellitus 
Tenecteplase,tenecteplase tissue plasminogen activator tpa developed modification natural human tpa complementary dna cdna 527 amino acid substitution threonine 103 asparagine substitution asparagine 117 glutamine within kringle 1 domain tetra-alanine substitution amino acid 296-299 protease domain , treatment myocardial infarction lysis intracoronary embolus
Menotropins,menotropins contains follicle stimulating hormone fsh luteinizing hormone lh purified urine postmenopausal woman used fertility medication injected either subcutaneously intramuscularly composed lh 2 subunit alpha 92 residue beta 121 residue fsh 2 subunit alpha 92 residue beta=111 residue , treatment female infertility
Interferon gamma-1b,human interferon gamma-1b 140 residue produced e. coli production actimmune achieved fermentation genetically engineered escherichia coli bacterium containing dna encodes human protein purification product achieved conventional column chromatography sequence displayed cdna sequence code human interferon gamma described gray et al specifically interferon gamma 1b ,interferon gamma-1b used treatment chronic granulomatous disease osteopetrosis 
Interferon alfa-2a,interferon human leukocyte protein moiety reduced type interferon consisting 165 amino acid residue lysine position 23 protein produced recombinant dna technology resembles interferon secreted leukocyte used extensively antiviral antineoplastic agent oral form developed amarillo bioscience , treatment chronic hepatitis c hairy cell leukemia aids-related kaposi 's sarcoma chronic myelogenous leukemia also treatment oral wart arising hiv infection 
Desmopressin,desmopressin ddavp synthetic analogue 8-arginine vasopressin adh antidiuretic peptide drug modified deamination 1-cysteine substitution 8-l-arginine 8-d-arginine adh endogenous pituitary hormone crucial role control water content body upon release stimulation increased plasma osmolarity decreased circulating blood volume adh mainly act cell distal part nephron collecting tubule kidney t28 hormone interacts v1 v2 v3 receptor differing signal cascade system desmopressin display enhanced antidiuretic potency fewer pressor effect due v2-selective action prolonged half-life duration action compared endogenous adh a31661 employed clinically since 1972 available various formulation including intranasal solution intravenous solution oral tablet oral lyophilisate a31662 desmopressin indicated treatment polyuric condition including primary nocturnal enuresis nocturia diabetes insipidus also newly approved treatment mild classical hemophilia von willebrand 's disease minor surgery active ingredient formulation desmopressin acetate nocdurna desmopressin acetate approved fda june 21st 2018 treatment nocturia due nocturnal polyuria adult available sublingual tablet , indicated treatment nocturia due nocturnal polyuria adult awaken least 2 time per night void intranasal indicated antidiuretic replacement therapy management central cranial diabetes insipidus management temporary polyuria polydipsia following head trauma surgery pituitary region intranasal/parenteral indicated patient hemophilia factor viii coagulant activity level greater 5 mild moderate classic von willebrand 's disease type factor viii level greater 5 surgical procedure postoperatively maintain hemostasis parenteral 
Coagulation factor VIIa Recombinant Human,recombinant human coagulation factor viia rfviia intended promoting hemostasis activating extrinsic pathway coagulation cascade novoseven vitamin k-dependent glycoprotein consisting 406 amino acid residue cloned expressed hamster kidney cell protein catalytically active two-chain form , treatment hemorrhagic complication hemophilia b 
Oprelvekin,"oprelvekin active ingredient neumega® recombinant interleukin-11 il-11 produced escherichia coli e. coli recombinant dna technology molecular mass approximately 19,000 dalton non-glycosylated protein 177 amino acid length comparison natural il-11 178 amino acid long however display comparable biological activity compared natural il-11 _in vitro_ _in vivo_ oprelvekin work stimulating megakaryocytopoiesis thrombopoiesis mouse nonhuman primate study animal moderate severe myelosuppression addition compromised hematopoiesis oprelvekin shown potently induce thrombopoiesis improve platelet nadir accelerated platelet recovery compared control animal study oprelvekin also shown regulate intestinal epithelium growth enhancing healing gastrointestinal lesion inhibit adiopegenesis macrophageal released pro-inflammatory cytokine induce acute phase protein synthesis ",indicated prevention severe thrombocytopenia reduction need platelet transfusion following myelosuppressive chemotherapy adult patient nonmyeloid malignancy high risk severe thrombocytopenia label 
Palifermin,palifermin recombinant human keratinocyte growth factor kgf 140 residue long produced using e. coli palifermin granted fda approval 15 december 2004 l17933 , treatment oral mucositis associated chemotherapy radiation therapy 
Glucagon,glucagon 29 amino acid hormone used diagnostic aid radiologic exam temporarily inhibit movement gastrointestinal tract treat severe hypoglycemia l7634 l7637 l7640 l7643 l8519 glucagon raise blood sugar activation hepatic glucagon receptor stimulating glycogenolysis release glucose l7640 l7643 glucagon granted fda approval 14 november 1960 l7631 ,glucagon indicated diagnostic aid radiologic exam temporarily inhibit movement gastrointestinal tract treat severe hypoglycemia l7634 l7637 l7640 l7643 l8519 
Aldesleukin,aldesleukin lymphokine produced recombinant dna technology using genetically engineered e. coli strain containing analog human interleukin-2 gene genetic engineering technique used modify human il-2 gene resulting expression clone encodes modified human interleukin-2 recombinant form differs native interleukin-2 following way aldesleukin glycosylated derived e. coli b molecule n-terminal alanine codon amino acid deleted genetic engineering procedure c molecule serine substituted cysteine amino acid position 125 , treatment adult metastatic renal cell carcinoma 
Botulinum toxin type B,neurotoxin produced fermentation clostridium botulinum type b protein exists noncovalent association hemagglutinin nonhemagglutinin protein neurotoxin complex neurotoxin complex recovered fermentation process purified series precipitation chromatography step , treatment patient cervical dystonia reduce severity abnormal head position neck pain associated cervical dystonia 
Omalizumab,"omalizumab manufactured _genentech_ first fda approved 2003 treat adult child 12 year age older moderate severe persistent allergic asthma controlled inhaled steroid l4670 since u.s. approval 200,000 patient older 12 allergic asthma treated l4670 september 2018 new prefilled syringe formulation drug approved fda l4671 ", drug anti-ige antibody indicated 1 moderate severe persistent asthma patient 6 year age older positive skin test vitro reactivity perennial aeroallergen symptom inadequately controlled inhaled corticosteroid fda label 2 chronic idiopathic urticaria adult adolescent 12 year age older remain symptomatic despite h1 antihistamine treatment fda label 
Lutropin alfa,lutropin alfa recombinant human luteinizing hormone produced yeast 2 subunit alpha 92 residue beta 121 residue heterodimeric glycoprotein made monomeric unit lutropin alfa first recombinant human form luteinizing hormone lh developed use stimulation follicular development pharmacological action mimic biological activity endogenous lh acute rise lh lh surge female trigger ovulation development corpous luteum male lh stimulates leydig cell produce testosterone , treatment infertility woman hypothalamic pituitary insufficiency hypogonadotropic hypogonadism profound lh deficiency lh 1.2 international unit iu /l 
